GRT_LABELLED_TIME_SERIES_CLASSIFICATION_DATA_FILE_V1.0
DatasetName: piTrainingData
InfoText: This data contains the initial training samples collected, in the format x_orientation, y_orientation, z_orientation, x_accel, y_accel, z_accel.
NumDimensions: 5
TotalNumTrainingExamples: 60
NumberOfClasses: 3
ClassIDsAndCounters: 
1	20
2	20
3	20
UseExternalRanges: 0
LabelledTimeSeriesTrainingData:
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 43
TimeSeriesData: 
1.625	0.75	1.38	-1.22	-0.52
1.25	0.5	1.82	-5.3	-1.35
0.5625	0.125	-3.47	-6.65	0.43
1.4375	-3	-0.35	-4.12	5.4
2.625	-5.6875	-0.23	1.89	9.33
4.4375	-7.4375	2.06	5.94	9.71
6.0625	-7.25	1.48	8.31	4.74
6.9375	-7.6875	1.5	7.98	-2.07
8.125	-8.1875	-0.97	7.72	-2.61
11.25	-8.0625	-1.28	4.45	-5.6
15.125	-7.625	-0.72	2.34	-7.01
16.4375	-6.8125	-3.82	-0.35	-9.16
18.25	-5.9375	-3.43	-3.08	-8.9
18.875	-4.75	-2.77	-3.53	-7.64
17.9375	-3.125	-0.71	-6.47	-5.22
14.0625	-1.5	-0.51	-6.54	-1.84
9.375	-1.375	-0.82	-5.3	3.49
5.125	-2.375	-0.81	-2.89	5.91
2.75	-2.1875	2.49	-1.62	6.4
1.6875	-0.25	1.66	0.59	5.4
2.4375	0	1.65	0.29	3.34
3.625	0.25	-0.33	1.86	3.15
4.1875	0.5	2.36	3.24	2.05
4.0625	2.0625	-0.96	0.91	0.7
5.4375	2.875	1.63	1.04	-0.13
5.9375	2.5625	-0.2	1.27	0.42
5.75	2.5	1.99	0.3	-0.74
5.375	1.9375	-0.01	1.03	0.68
5.125	1.9375	-0.13	-0.02	-0.47
4.4375	1.75	1.45	-0.45	-0.41
3.5625	1.3125	1.49	-0.14	1.45
3.1875	1.0625	1.43	-0.12	0.27
2.5625	1	-0.57	-0.34	0.04
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 40
TimeSeriesData: 
2.9375	2.125	-0.05	-0.03	0.24
2.9375	2.125	-0.13	-0.02	0.16
2.9375	2.1875	1.29	-0.06	0.07
2.875	2.125	-0.06	-0.01	0.18
2.9375	2.125	-0.06	-0.1	0.08
2.875	2.0625	1.28	0.13	0.4
2.875	2.125	-0.12	0.09	0.32
2.9375	2.1875	1.54	0.35	0.07
2.9375	2.1875	1.28	-1.29	-1.01
2.875	1.8125	-0.14	-6.84	-1.3
1.8125	-0.3125	-3.54	-7.42	0.71
3.3125	-4.25	1.14	-0.79	8.41
4.75	-6.875	1.5	1.12	8.94
5	-10.875	2.05	6.17	10.47
7.875	-16.5	-0.05	10.94	1.34
10.75	-18.5	-0.68	8.33	-4.03
13.75	-18.8125	-1.09	5.19	-6.35
15.8125	-16.9375	-1.24	2.75	-8.67
17.75	-14.25	-1.26	-0.56	-10.23
18.3125	-9.75	-2.64	-3.47	-9.15
17.6875	-5.8125	-3.01	-3.58	-6.76
14.875	-1.3125	-1.26	-5.08	-5.64
11.5625	1.375	-0.54	-5.64	-3.66
8.125	2.0625	-0.79	-5.01	-0.59
4.125	1.625	-0.53	-6.02	1.61
1.125	1.125	-2.57	-3.06	5.05
-0.9375	1.9375	1.65	-2.8	3.69
-2.3125	4.0625	-0.34	-2.04	0.62
-2	3.375	1.63	2.26	3.89
-0.6875	2.4375	1.98	3.85	4.84
-1.0625	3.25	-0.3	1.12	1.05
-1.5625	4.375	-0.15	1.53	1.46
-0.375	4	1.72	0.89	0
0.1875	3.25	-0.51	0.82	0.24
1.125	2.6875	1.56	0.51	0.25
0.875	2.25	-0.66	-0.54	-0.18
0.5	1.5	-0.22	0.03	-0.02
0.5625	1.0625	0.26	0	0.43
0.5625	0.625	-0.45	0.12	0.08
0.6875	0.625	1.97	-0.08	-0.21
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 39
TimeSeriesData: 
1.5	1.9375	-0.1	-0.08	0.28
1.4375	1.9375	1.28	-0.07	0.22
1.4375	1.9375	1.28	0.13	0.47
1.4375	1.9375	-0.1	-0.06	0.34
1.4375	1.9375	-0.09	0.09	0.4
1.4375	1.9375	1.33	-0.04	-0.03
1.375	1.8125	-0.15	0.12	0.32
1.375	1.6875	-0.12	0	-0.13
1.5	1.6875	1.58	-1.77	-1.49
1.3125	1.5625	1.45	-6.17	-1.09
